User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
352975,77003,24 Hour Kiosk,522 CRACKED FRAME,12/31/13,8:33 PM,1919 Runnels,2,,12/31/13,8:54 PM,Clay & Smith,2,3.20,3.04,128,21,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,099 CRACKED FRAME,12/31/13,6:11 PM,Sabine Bridge,8,,12/31/13,6:36 PM,Tellepsen YMCA,2,3.00,2.85,120,25,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,234 CRACKED FRAME,12/31/13,5:54 PM,UHD/Main & Franklin,7,,12/31/13,5:54 PM,UHD/Main & Franklin,1,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
323386,77006,Annual Membership,103 CRACKED FRAME,12/31/13,5:52 PM,Freed Library,2,,12/31/13,6:20 PM,Freed Library,7,4.00,3.80,160,28,BCycle 1.0,$0.00 ,,
208132,77027,Annual Membership,124,12/31/13,5:31 PM,Tellepsen YMCA,5,,12/31/13,5:33 PM,METRO Transit Center,11,0.30,0.29,12,2,BCycle 1.0,$0.00 ,,
294829,77054,Annual Membership,940,12/31/13,4:44 PM,Clay & Smith,4,,12/31/13,5:04 PM,Hermann Park Lake Plaza (old),6,3.00,2.85,120,20,BCycle 1.0,$0.00 ,,
348684,77007,Annual Membership,099 CRACKED FRAME,12/31/13,4:24 PM,Spotts Park,2,,12/31/13,4:38 PM,Sabine Bridge,8,2.00,1.90,80,14,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,406,12/31/13,4:18 PM,Smith & Capitol,1,,12/31/13,4:18 PM,Smith & Capitol,1,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
212813,77064,Annual Membership,530,12/31/13,4:07 PM,METRO Transit Center,11,,12/31/13,4:26 PM,Stude Park,7,2.00,1.90,80,19,BCycle 1.0,$0.00 ,,
215833,77019,Annual Membership,2014,12/31/13,3:55 PM,McKinney & Caroline,5,,12/31/13,4:23 PM,Westheimer & Waugh,13,4.00,3.80,160,28,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,533 R,12/31/13,3:36 PM,Taft & Fairview,7,,12/31/13,3:36 PM,Taft & Fairview,6,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,534,12/31/13,3:36 PM,Taft & Fairview,8,,12/31/13,3:36 PM,Taft & Fairview,5,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,114 CRACKED FRAME,12/31/13,3:35 PM,Taft & Fairview,10,,12/31/13,3:35 PM,Taft & Fairview,3,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
234956,,Not Applicable,500 G CRACKED FRAME,12/31/13,3:35 PM,Taft & Fairview,11,,12/31/13,3:35 PM,Taft & Fairview,2,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
352905,60611,24 Hour Kiosk,979 CRACKED FRAME,12/31/13,3:32 PM,Hermann Park Lake Plaza (old),10,,12/31/13,5:03 PM,Hermann Park Lake Plaza (old),2,13.00,12.35,520,91,BCycle 1.0,$4.00 ,,
352905,60611,24 Hour Kiosk,943,12/31/13,3:32 PM,Hermann Park Lake Plaza (old),6,,12/31/13,5:03 PM,Hermann Park Lake Plaza (old),5,13.00,12.35,520,91,BCycle 1.0,$4.00 ,,
352904,77042,24 Hour Kiosk,183,12/31/13,3:30 PM,Hermann Park Lake Plaza (old),9,,12/31/13,4:27 PM,Hermann Park Lake Plaza (old),9,8.00,7.60,320,57,BCycle 1.0,$0.00 ,,
