User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
142678,,24 Hour Kiosk,533 CRACKED FRAME,6/30/12,8:14 PM,City Hall,1,,6/30/12,9:00 PM,Market Square,2,6.90,6.56,276,46,BCycle 1.0,$0.00 ,,
143205,,24 Hour Kiosk,025 G,6/30/12,7:31 PM,Lamar & Crawford,3,,6/30/12,8:01 PM,Lamar & Crawford,1,4.50,4.28,180,30,BCycle 1.0,$0.00 ,,
143204,,24 Hour Kiosk,024 G,6/30/12,7:29 PM,Lamar & Crawford,1,,6/30/12,8:01 PM,Lamar & Crawford,3,4.80,4.56,192,32,BCycle 1.0,$0.00 ,,
135820,,24 Hour Kiosk,160 G CRACKED FRAME,6/30/12,4:04 PM,City Hall,2,,6/30/12,4:47 PM,City Hall,2,6.40,6.08,256,43,BCycle 1.0,$0.00 ,,
123458,,Not Applicable,024 G,6/30/12,1:38 PM,City Hall,8,,6/30/12,1:45 PM,Lamar & Crawford,1,1.00,0.95,40,7,BCycle 1.0,$0.00 ,,
142678,,24 Hour Kiosk,222,6/30/12,10:45 AM,Market Square,10,,6/30/12,12:55 PM,Market Square,10,18.00,17.10,720,130,BCycle 1.0,$4.00 ,,
126065,,24 Hour Kiosk,533 CRACKED FRAME,6/30/12,10:37 AM,Market Square,2,,6/30/12,12:21 PM,City Hall,1,15.60,14.82,624,104,BCycle 1.0,$2.00 ,,
126065,,24 Hour Kiosk,444 G,6/30/12,10:36 AM,Market Square,3,,6/30/12,12:21 PM,City Hall,3,15.80,15.01,632,105,BCycle 1.0,$2.00 ,,
142198,77058,Annual Membership,402 G CRACKED FRAME,6/30/12,10:32 AM,Market Square,8,,6/30/12,1:46 PM,Market Square,8,18.00,17.10,720,194,BCycle 1.0,$8.00 ,,
142196,77258,Annual Membership,245 CRACKED FRAME,6/30/12,10:32 AM,Market Square,4,,6/30/12,1:46 PM,Market Square,4,18.00,17.10,720,194,BCycle 1.0,$8.00 ,,
142748,,24 Hour Kiosk,533 CRACKED FRAME,6/29/12,8:44 PM,Market Square,9,,6/29/12,9:16 PM,Market Square,2,4.80,4.56,192,32,BCycle 1.0,$0.00 ,,
142730,,24 Hour Kiosk,025 G,6/29/12,7:49 PM,Lamar & Crawford,5,,6/29/12,8:56 PM,Lamar & Crawford,3,10.00,9.50,400,67,BCycle 1.0,$0.00 ,,
142729,,24 Hour Kiosk,196 G CRACKED FRAME,6/29/12,7:49 PM,Lamar & Crawford,4,,6/29/12,8:56 PM,Lamar & Crawford,5,10.00,9.50,400,67,BCycle 1.0,$0.00 ,,
142728,,24 Hour Kiosk,157 CRACKED FRAME,6/29/12,7:48 PM,Lamar & Crawford,3,,6/29/12,8:57 PM,Lamar & Crawford,4,10.40,9.88,416,69,BCycle 1.0,$0.00 ,,
142725,,24 Hour Kiosk,146 R CRACKED FRAME,6/29/12,7:35 PM,Market Square,7,,6/29/12,10:29 PM,Market Square,6,18.00,17.10,720,174,BCycle 1.0,$6.00 ,,
142724,,24 Hour Kiosk,245 CRACKED FRAME,6/29/12,7:33 PM,Market Square,5,,6/29/12,11:57 PM,Market Square,4,18.00,17.10,720,264,BCycle 1.0,$12.00 ,,
131846,,24 Hour Kiosk,022 G PRIDE RETIRED,6/29/12,7:24 PM,Market Square,6,,6/29/12,9:52 PM,City Hall,4,18.00,17.10,720,148,BCycle 1.0,$4.00 ,,
142721,,24 Hour Kiosk,402 G CRACKED FRAME,6/29/12,7:22 PM,Market Square,8,,6/29/12,9:52 PM,Market Square,8,18.00,17.10,720,150,BCycle 1.0,$4.00 ,,
132421,,24 Hour Kiosk,160 G CRACKED FRAME,6/29/12,7:12 PM,Market Square,4,,6/29/12,9:52 PM,City Hall,2,18.00,17.10,720,160,BCycle 1.0,$6.00 ,,
142714,,24 Hour Kiosk,444 G,6/29/12,7:07 PM,Market Square,2,,6/30/12,2:43 AM,Market Square,3,18.00,17.10,720,456,BCycle 1.0,,59,$0.00 
142678,,24 Hour Kiosk,222,6/29/12,6:54 PM,City Hall,4,,6/29/12,9:36 PM,Market Square,10,18.00,17.10,720,162,BCycle 1.0,$6.00 ,,
142678,,24 Hour Kiosk,314 G CRACKED FRAME,6/29/12,6:04 PM,City Hall,3,,6/29/12,6:22 PM,City Hall,9,2.70,2.57,108,18,BCycle 1.0,$0.00 ,,
131846,,24 Hour Kiosk,533 CRACKED FRAME,6/29/12,6:02 PM,City Hall,1,,6/29/12,7:23 PM,Market Square,9,12.20,11.59,488,81,BCycle 1.0,$0.00 ,,
123675,77010,Annual Membership,024 G,6/29/12,5:06 PM,Lamar & Crawford,1,,6/29/12,5:15 PM,City Hall,8,1.40,1.33,56,9,BCycle 1.0,$0.00 ,,
123458,,Not Applicable,024 G,6/29/12,11:36 AM,Market Square,10,,6/29/12,11:52 AM,Lamar & Crawford,1,2.40,2.28,96,16,BCycle 1.0,$0.00 ,,
142366,,24 Hour Kiosk,196 G CRACKED FRAME,6/29/12,10:47 AM,Lamar & Crawford,2,,6/29/12,11:16 AM,Lamar & Crawford,4,4.40,4.18,176,29,BCycle 1.0,$0.00 ,,
142366,,24 Hour Kiosk,250 R,6/29/12,10:46 AM,Lamar & Crawford,1,,6/29/12,11:16 AM,Lamar & Crawford,2,4.50,4.28,180,30,BCycle 1.0,$0.00 ,,
