User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
132421,,24 Hour Kiosk,533 CRACKED FRAME,5/31/12,8:08 PM,Lamar & Crawford,1,,5/31/12,8:35 PM,City Hall,2,4.00,3.80,160,27,BCycle 1.0,$0.00 ,,
132340,,24 Hour Kiosk,250 R,5/31/12,7:16 PM,City Hall,7,,5/31/12,10:17 PM,City Hall,4,18.00,17.10,720,181,BCycle 1.0,$8.00 ,,
132421,,24 Hour Kiosk,196 G CRACKED FRAME,5/31/12,7:14 PM,Market Square,4,,5/31/12,8:04 PM,Lamar & Crawford,3,7.50,7.13,300,50,BCycle 1.0,$0.00 ,,
132425,,24 Hour Kiosk,025 G,5/31/12,4:08 PM,Lamar & Crawford,5,,5/31/12,4:52 PM,Lamar & Crawford,5,6.60,6.27,264,44,BCycle 1.0,$0.00 ,,
132424,,24 Hour Kiosk,245 CRACKED FRAME,5/31/12,4:07 PM,Lamar & Crawford,3,,5/31/12,4:52 PM,Lamar & Crawford,2,6.80,6.46,272,45,BCycle 1.0,$0.00 ,,
131335,,24 Hour Kiosk,250 R,5/31/12,4:00 PM,Lamar & Crawford,4,,5/31/12,4:12 PM,City Hall,7,1.80,1.71,72,12,BCycle 1.0,$0.00 ,,
132421,,24 Hour Kiosk,402 G CRACKED FRAME,5/31/12,3:53 PM,City Hall,2,,5/31/12,4:42 PM,Market Square,8,7.40,7.03,296,49,BCycle 1.0,$0.00 ,,
123458,,Not Applicable,402 G CRACKED FRAME,5/31/12,3:34 PM,Market Square,7,,5/31/12,3:40 PM,City Hall,2,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
123458,,Not Applicable,160 G CRACKED FRAME,5/31/12,3:34 PM,Market Square,8,,5/31/12,3:35 PM,Market Square,2,0.20,0.19,8,1,BCycle 1.0,$0.00 ,,
123458,,Not Applicable,444 G,5/31/12,3:33 PM,Market Square,9,,5/31/12,3:41 PM,City Hall,3,1.20,1.14,48,8,BCycle 1.0,$0.00 ,,
