User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
176093,,24 Hour Kiosk,160 G CRACKED FRAME,9/30/12,4:52 PM,Market Square,6,,9/30/12,6:34 PM,Market Square,6,15.30,14.54,612,102,BCycle 1.0,$2.00 ,,
176093,,24 Hour Kiosk,250 R,9/30/12,4:49 PM,Market Square,2,,9/30/12,4:51 PM,Market Square,2,0.30,0.29,12,2,BCycle 1.0,$0.00 ,,
175825,,24 Hour Kiosk,222,9/30/12,4:44 PM,City Hall,1,,9/30/12,5:15 PM,City Hall,1,4.60,4.37,184,31,BCycle 1.0,$0.00 ,,
168925,,24 Hour Kiosk,196 G CRACKED FRAME,9/30/12,4:29 PM,Market Square,4,,9/30/12,5:35 PM,Market Square,4,9.90,9.41,396,66,BCycle 1.0,$0.00 ,,
168925,,24 Hour Kiosk,314 G CRACKED FRAME,9/30/12,4:28 PM,Market Square,3,,9/30/12,5:35 PM,Market Square,5,10.00,9.50,400,67,BCycle 1.0,$0.00 ,,
168925,,24 Hour Kiosk,440 G,9/30/12,4:28 PM,Market Square,8,,9/30/12,5:35 PM,Market Square,10,10.00,9.50,400,67,BCycle 1.0,$0.00 ,,
168925,,24 Hour Kiosk,146 R CRACKED FRAME,9/30/12,4:27 PM,Market Square,10,,9/30/12,5:35 PM,Market Square,8,10.20,9.69,408,68,BCycle 1.0,$0.00 ,,
175825,,24 Hour Kiosk,222,9/30/12,3:49 PM,Market Square,5,,9/30/12,4:44 PM,City Hall,1,8.20,7.79,328,55,BCycle 1.0,$0.00 ,,
175827,,24 Hour Kiosk,024 G,9/30/12,3:40 PM,Market Square,1,,9/30/12,7:37 PM,City Hall,2,18.00,17.10,720,237,BCycle 1.0,$10.00 ,,
174527,,24 Hour Kiosk,157 CRACKED FRAME,9/30/12,3:31 PM,Lamar & Crawford,1,,9/30/12,4:34 PM,Lamar & Crawford,1,9.40,8.93,376,63,BCycle 1.0,$0.00 ,,
