User ID,Zip,Membership Type,Bike,Checkout Date,Checkout Time,Checkout Kiosk,Checkout Dock,Bike Checkout Method,Return Date,Return Time,Return Kiosk,Return Dock,Distance (Miles),Estimated Carbon Offset (lbs),Estimated Calories Burned,Duration (Minutes),Bike Model,Charge,Adjusted Duration (Minutes),Adjusted Charge
204435,,24 Hour Kiosk,876 CRACKED FRAME,3/31/13,9:12 PM,Smith & Capitol,4,,3/31/13,9:18 PM,Main & Dallas,2,0.90,0.86,36,6,BCycle 1.0,$0.00 ,,
205971,,24 Hour Kiosk,261 CRACKED FRAME,3/31/13,8:12 PM,METRO Transit Center,9,,3/31/13,8:56 PM,Market Square,9,6.60,6.27,264,44,BCycle 1.0,$0.00 ,,
207087,,24 Hour Kiosk,853 CRACKED FRAME,3/31/13,7:47 PM,Smith & Capitol,13,,3/31/13,7:57 PM,McKinney & Caroline,4,1.50,1.43,60,10,BCycle 1.0,$0.00 ,,
207088,,24 Hour Kiosk,533 CRACKED FRAME,3/31/13,7:47 PM,Smith & Capitol,14,,3/31/13,7:56 PM,McKinney & Caroline,1,1.40,1.33,56,9,BCycle 1.0,$0.00 ,,
123462,77004,Annual Membership,153 CRACKED FRAME,3/31/13,7:41 PM,Hermann Park Lake Plaza (old),2,,3/31/13,7:41 PM,Hermann Park Lake Plaza (old),2,0.00,0.00,0,0,BCycle 1.0,$0.00 ,,
204435,,24 Hour Kiosk,204 CRACKED FRAME,3/31/13,6:00 PM,Main & Dallas,4,,3/31/13,6:36 PM,City Hall,6,5.40,5.13,216,36,BCycle 1.0,$0.00 ,,
206971,,24 Hour Kiosk,261 CRACKED FRAME,3/31/13,5:59 PM,METRO Transit Center,9,,3/31/13,6:35 PM,METRO Transit Center,9,5.40,5.13,216,36,BCycle 1.0,$0.00 ,,
206971,,24 Hour Kiosk,261 CRACKED FRAME,3/31/13,4:33 PM,Ensemble/HCC Station,8,,3/31/13,5:59 PM,METRO Transit Center,9,12.90,12.26,516,86,BCycle 1.0,$2.00 ,,
207244,,24 Hour Kiosk,231,3/31/13,4:16 PM,Sabine Bridge,8,,3/31/13,4:37 PM,Sabine Bridge,8,1.50,1.43,60,21,BCycle 1.0,$0.00 ,,
207244,,24 Hour Kiosk,130 CRACKED FRAME,3/31/13,4:15 PM,Sabine Bridge,4,,3/31/13,4:37 PM,Sabine Bridge,3,2.10,2.00,84,22,BCycle 1.0,$0.00 ,,
